id,name,code,image-large,image-normal,partner,gameid,game_category_id
125,POKDENG,PD,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/pd.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/pokdeng.png,AMBPOKER,PD,"3,6"
135,Head or Tail Arcade,PUNPAE,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/punpae2.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/punpae2.png,AMBPOKER,PUNPAE,6
123,TK 2 Cards,TK2,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/tk2.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/tk2.png,AMBPOKER,TK2,"3,6"
122,TK 3 Cards,TK3,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/tk3New.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/tk3.png,AMBPOKER,TK3,"3,6"
203,Royal Thai Dessert,TDESSERT,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/new_royal_Thai_desser.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/new_royal_Thai_dessert.png,AMBSLOT,1,1
204,Ghost House,GH,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/ghost-house.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/ghost-house.png,AMBSLOT,1,1
206,Vampire,VAMPIRE,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/vampire.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/vampire.png,AMBSLOT,1,1
207,Monster,MONSTER,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/little_monster.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/little_monster.png,AMBSLOT,1,"1,2,4"
208,Super Bros,SUPERBROS,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/SUPERBROS.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/SUPERBROS.png,AMBSLOT,1,1
209,Snow Princess,SNOWPRINCESS,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/SNOWPRINCESS.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/SNOWPRINCESS.png,AMBSLOT,1,1
