id,name,code,image_large,image_normal,partner,gameid,game_category_id,active,date_time,game_type,lines,game_model,maximum_win,free_spin,min_bet,max_bet,demo_link
139,Cai Shen 888,S-CS01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/cai-shen-888.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/cai-shen-888.jpg,spadegaming,,,,,1,1024,,x1000,Free game,5,"5,000",Demo link
140,Dancing Fever,S-DF02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/dancing-fever.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/dancing-fever.jpg,spadegaming,,,,,1,243,,x65000,Free game,5,"5,000",Demo link
141,Princess Wang,S-PW02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/princess-wang.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/princess-wang.jpg,spadegaming,,,,,1,15,,x1500,Free game,3,"4,500",Demo link
142,Gold Panther,S-GP01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/gold-panther.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/gold-panther.jpg,spadegaming,,,,,1,4096,,x1500,Free game,4,"5,000",Demo link
143,Mayan Gems,S-MG02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/mayan-gems.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/mayan-gems.jpg,spadegaming,,,,,1,5,,N/A,-,5,"5,000",Demo link
144,Joker's Treasure,S-JT02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/joker-treasure.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/joker-treasure.jpg,spadegaming,,,,,1,5,,x25000,-,5,"5,000",Demo link
145,King Pharaoh,S-PH02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/king-pharaoh.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/king-pharaoh.jpg,spadegaming,,,,,1,20,,x5000,Free game,2,"5,000",Demo link
146,Golden Monkey,S-FM02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/golden-monkey.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/golden-monkey.jpg,spadegaming,,,,,1,50,,x3000,Free game,5,"5,000",Demo link
147,Candy Pop,S-CP01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/candy-pop.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/candy-pop.jpg,spadegaming,,,,,1,N/A,,N/A,Bonus game,-,-,Demo link
148,Money Mouse,S-MM01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/money-mouse.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/money-mouse.jpg,spadegaming,,,,,1,243,,x100,Free game,4,"5,000",Demo link
149,First Love,S-FL02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/first-love.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/first-love.jpg,spadegaming,,,,,1,243,,x180000,Free game,5,"5,000",Demo link
150,Mega 7,S-MG01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/mega-7.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/mega-7.jpg,spadegaming,,,,,1,5,,x6000,-,5,"5,000",Demo link
151,Three Lucky Stars,S-LS02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/three-lucky-stars.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/three-lucky-stars.jpg,spadegaming,,,,,1,1,,x300,-,2,"3,000",Demo link
152,FaFaFa2,S-LY02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/fafafa2.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/fafafa2.jpg,spadegaming,,,,,1,1,,x1000,-,2,"3,000",Demo link
153,Lucky Meow,S-LM01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/lucky-meow.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/lucky-meow.jpg,spadegaming,,,,,1,20,,x30000,"Free game, Bonus game",2,"5,000",Demo link
154,Magical Lamp,S-ML01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/magical-lamp.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/magical-lamp.jpg,spadegaming,,,,,1,50,,x5000,"Free game, Bonus game",5,"5,000",Demo link
155,Da Fu Xiao Fu,S-DX01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/da-fu-xiao-fu.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/da-fu-xiao-fu.jpg,spadegaming,,,,,1,15,,x30000,Free game,3,"4,500",Demo link
156,Big Prosperity SA,S-FC03,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/big-prosperity-sa.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/big-prosperity-sa.jpg,spadegaming,,,,,1,15,,x120000,Free game,3,"4,500",Demo link
157,Mr Chu Tycoon,S-CH01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/mr-chu-tycoon.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/mr-chu-tycoon.jpg,spadegaming,,,,,1,40,,x40000,Free game,4,"5,000",Demo link
158,Dragon Gold SA,S-DG04,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/dragon-gold-sa.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/dragon-gold-sa.jpg,spadegaming,,,,,1,15,,x120000,Free game,3,"4,500",Demo link
159,Triple Panda,S-TP02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/triple-panda.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/triple-panda.jpg,spadegaming,,,,,1,5,,x1000,Free game,5,"5,000",Demo link
160,Prosperity Gods,S-PG01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/prosperity-gods.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/prosperity-gods.jpg,spadegaming,,,,,1,20,,x2000,Free game,2,"5,000",Demo link
161,Wow Prosperity,S-WP02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/wow-prosperity.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/wow-prosperity.jpg,spadegaming,,,,,1,1024,,x250,Free game,6,"6,000",Demo link
162,Crazy Bomber,S-CB01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/crazy-bomber.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/crazy-bomber.jpg,spadegaming,,,,,1,N/A,,x200,-,5,"5,000",Demo link
163,FaFaFa,S-LY01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/fafafa.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/fafafa.jpg,spadegaming,,,,,1,1,,x400,-,2,"3,000",Demo link
164,Double Flame,S-DF03,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/double-flame.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/double-flame.jpg,spadegaming,,,,,1,25,,N/A,"Free game, Bonus game",5,"5,000",Demo link
165,Tiger Warrior,S-TW01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/tiger-warrior.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/tiger-warrior.jpg,spadegaming,,,,,1,243,,x2000,Free game,5,"5,000",Demo link
166,Kungfu Dragon,S-KF01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/kungfu-dragon.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/kungfu-dragon.jpg,spadegaming,,,,,1,46656,,N/A,Free game,5,"5,000",Demo link
